record_type,ordinal,target_cell,expected,actual,abs_diff,status
slot_grid,1,B2,1406.6411,1406.6411,0.0,PASS
slot_grid,2,B3,1406.3298666666667,1406.329866666667,2.2737367544323206e-13,PASS
slot_grid,3,B4,1407.3838500000002,1407.38385,2.2737367544323206e-13,PASS
slot_grid,4,B5,1409.07395,1409.07395,0.0,PASS
slot_grid,5,B6,1409.80455,1409.80455,0.0,PASS
slot_grid,6,B7,576.6400166666666,576.6400166666666,0.0,PASS
slot_grid,7,B8,577.8597,577.8597,0.0,PASS
slot_grid,8,B9,577.9938666666667,577.9938666666667,0.0,PASS
slot_grid,9,B10,911.1613833333333,911.1613833333333,0.0,PASS
slot_grid,10,B11,580.41545,580.41545,0.0,PASS
slot_grid,11,B12,582.5140166666666,582.5140166666666,0.0,PASS
slot_grid,12,B13,583.07405,583.07405,0.0,PASS
slot_grid,13,B14,584.2049166666667,584.2049166666667,0.0,PASS
slot_grid,14,B15,585.4397833333334,585.4397833333334,0.0,PASS
slot_grid,15,B16,586.14475,586.14475,0.0,PASS
slot_grid,16,B17,586.3207666666666,586.3207666666666,0.0,PASS
slot_grid,17,B18,586.4253,586.4253,0.0,PASS
slot_grid,18,B19,586.8496,586.8496,0.0,PASS
slot_grid,19,B20,587.8210166666667,587.8210166666667,0.0,PASS
slot_grid,20,B21,589.5475666666667,589.5475666666667,0.0,PASS
slot_grid,21,B22,590.8134666666666,590.8134666666666,0.0,PASS
slot_grid,22,B23,590.2131166666667,590.2131166666667,0.0,PASS
slot_grid,23,B24,591.0662666666666,591.0662666666666,0.0,PASS
slot_grid,24,B25,593.3678333333334,593.3678333333334,0.0,PASS
slot_grid,25,B26,593.6596833333333,593.6596833333333,0.0,PASS
slot_grid,26,B27,592.7863833333333,592.7863833333333,0.0,PASS
slot_grid,27,B28,593.3378666666666,593.3378666666666,0.0,PASS
slot_grid,28,B29,596.6757666666666,596.6757666666666,0.0,PASS
slot_grid,29,B30,597.78025,597.78025,0.0,PASS
slot_grid,30,B31,595.1625,595.1625,0.0,PASS
slot_grid,31,B32,590.6065,590.6065,0.0,PASS
slot_grid,32,B33,589.4851833333333,589.4851833333333,0.0,PASS
slot_grid,33,B34,578.4554499999999,578.4554499999999,0.0,PASS
slot_grid,34,B35,1383.6597833333335,1383.659783333334,4.547473508864641e-13,PASS
slot_grid,35,B36,591.1401999999999,591.1401999999999,0.0,PASS
slot_grid,36,B37,0.0,0,0.0,PASS
slot_grid,37,B38,0.0,0,0.0,PASS
slot_grid,38,B39,0.0,0,0.0,PASS
slot_grid,39,B40,0.0,0,0.0,PASS
slot_grid,40,B41,0.0,0,0.0,PASS
slot_grid,41,B42,0.0,0,0.0,PASS
slot_grid,42,B43,0.0,0,0.0,PASS
slot_grid,43,B44,0.0,0,0.0,PASS
slot_grid,44,B45,0.0,0,0.0,PASS
slot_grid,45,B46,0.0,0,0.0,PASS
slot_grid,46,B47,0.001008478653404119,0.001008478653404119,0.0,PASS
slot_grid,47,B48,0.0,0,0.0,PASS
slot_grid,48,B49,0.0,0,0.0,PASS
slot_grid,49,B50,0.0,0,0.0,PASS
slot_grid,50,B51,0.0,0,0.0,PASS
slot_grid,51,B52,0.0,0,0.0,PASS
slot_grid,52,B53,0.0,0,0.0,PASS
slot_grid,53,B54,0.0,0,0.0,PASS
slot_grid,54,B55,0.0,0,0.0,PASS
slot_grid,55,B56,0.0,0,0.0,PASS
slot_grid,56,B57,0.0,0,0.0,PASS
slot_grid,57,B58,0.0,0,0.0,PASS
slot_grid,58,B59,0.0,0,0.0,PASS
slot_grid,59,B60,0.0,0,0.0,PASS
slot_grid,60,B61,0.0,0,0.0,PASS
slot_grid,61,B62,0.0,0,0.0,PASS
slot_grid,62,B63,0.0,0,0.0,PASS
slot_grid,63,B64,0.0,0,0.0,PASS
slot_grid,64,B65,0.0,0,0.0,PASS
slot_grid,65,B66,0.0,0,0.0,PASS
slot_grid,66,B67,0.0,0,0.0,PASS
slot_grid,67,B68,575.1709166666667,575.1709166666667,0.0,PASS
slot_grid,68,B69,0.0,0,0.0,PASS
slot_grid,69,B70,0.0,0,0.0,PASS
slot_grid,70,B71,179.2759263638048,179.2759263638048,0.0,PASS
slot_grid,71,B72,520.1245166666668,520.1245166666668,0.0,PASS
slot_grid,72,B73,486.4028999999998,486.4028999999998,0.0,PASS
slot_grid,73,B74,480.41245000000004,480.41245,5.684341886080802e-14,PASS
slot_grid,74,B75,485.3000000000002,485.3000000000002,0.0,PASS
