slot_id,time_hour,time_label,load_kw,pv_kw,grid_optimized_kw,charge_kw,discharge_kw,storage_net_kw_positive_discharge,grid_baseline_no_storage_kw,price_yuan_per_kwh
1,0.16666666666666666,0:10,3439.8466,0.0,8439.8466,5000.0,0.0,-5000.0,3439.8466,0.4248
2,0.3333333333333333,0:20,3437.9792,0.0,8437.9792,5000.0,0.0,-5000.0,3437.9791999999998,0.4244999999999999
3,0.5,0:30,3444.3031,0.0,8444.303100000001,5000.0,0.0,-5000.0,3444.3031,0.4269
4,0.6666666666666666,0:40,3454.4437,0.0,8454.4437,5000.0,0.0,-5000.0,3454.4437,0.4272
5,0.8333333333333334,0:50,3458.8273,0.0,8458.8273,5000.0,0.0,-5000.0,3458.8273,0.4270999999999999
6,1.0,1:00,3459.8401,0.0,3459.8400999999994,0.0,0.0,0.0,3459.8400999999994,0.4284999999999999
7,1.1666666666666667,1:10,3467.1582,0.0,3467.1582,0.0,0.0,0.0,3467.1582,0.4310999999999999
8,1.3333333333333333,1:20,3467.9632,0.0,3467.9632,0.0,0.0,0.0,3467.9632,0.4302
9,1.5,1:30,3466.9683,0.0,5466.968299999999,1999.9999999999995,0.0,-1999.9999999999995,3466.9682999999995,0.4279
10,1.6666666666666667,1:40,3482.4927,0.0,3482.4927,0.0,0.0,0.0,3482.4927,0.4312
11,1.8333333333333333,1:50,3495.0841,0.0,3495.084099999999,0.0,0.0,0.0,3495.084099999999,0.4333
12,2.0,2:00,3498.4443,0.0,3498.4443,0.0,0.0,0.0,3498.4443,0.4310999999999999
13,2.1666666666666665,2:10,3505.2295,0.0,3505.2295000000004,0.0,0.0,0.0,3505.2295000000004,0.4293
14,2.3333333333333335,2:20,3512.6387,0.0,3512.6387000000004,0.0,0.0,0.0,3512.6387000000004,0.4324
15,2.5,2:30,3516.8685,0.0,3516.8685000000005,0.0,0.0,0.0,3516.8685000000005,0.4366999999999999
16,2.6666666666666665,2:40,3517.9246,0.0,3517.9245999999994,0.0,0.0,0.0,3517.9245999999994,0.4348
17,2.8333333333333335,2:50,3518.5518,0.0,3518.5518,0.0,0.0,0.0,3518.5518,0.4335
18,3.0,3:00,3521.0976,0.0,3521.0976,0.0,0.0,0.0,3521.0976,0.4356999999999999
19,3.1666666666666665,3:10,3526.9261,0.0,3526.9260999999997,0.0,0.0,0.0,3526.9260999999997,0.4374
20,3.3333333333333335,3:20,3537.2854,0.0,3537.2854000000007,0.0,0.0,0.0,3537.2854000000007,0.4370999999999999
21,3.5,3:30,3544.8808,0.0,3544.8808,0.0,0.0,0.0,3544.8808,0.4355999999999999
22,3.6666666666666665,3:40,3541.2787,0.0,3541.2787,0.0,0.0,0.0,3541.2787,0.4353
23,3.8333333333333335,3:50,3546.3976,0.0,3546.3975999999993,0.0,0.0,0.0,3546.3975999999993,0.436
24,4.0,4:00,3560.207,0.0,3560.2070000000003,0.0,0.0,0.0,3560.2070000000003,0.4378
25,4.166666666666667,4:10,3561.9581,0.0,3561.9581,0.0,0.0,0.0,3561.9581,0.4400999999999999
26,4.333333333333333,4:20,3556.7183,0.0,3556.7183,0.0,0.0,0.0,3556.7183,0.4389
27,4.5,4:30,3560.0272,0.0,3560.027199999999,0.0,0.0,0.0,3560.027199999999,0.4364
28,4.666666666666667,4:40,3580.654,0.5994,3580.054599999999,0.0,0.0,0.0,3580.054599999999,0.4393
29,4.833333333333333,4:50,3586.916,0.2344999999999999,3586.6815,0.0,0.0,0.0,3586.6815,0.4421999999999999
